"","value","district","gender","age_group"
"332","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"333","Les alcanza justo, sin grandes dificultades","6","Hombre","1"
"334","No les alcanza y tienen dificultades","6","Mujer","3"
"335","Les alcanza justo, sin grandes dificultades","6","Hombre","3"
"336","Les alcanza bien y pueden ahorrar","6","Hombre","3"
"337","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"338","Les alcanza justo, sin grandes dificultades","6","Mujer","2"
"339","Les alcanza justo, sin grandes dificultades","6","Mujer","1"
"340","Les alcanza bien y pueden ahorrar","6","Hombre","1"
"341","Les alcanza bien y pueden ahorrar","6","Hombre","4"
"342","Les alcanza bien y pueden ahorrar","6","Hombre","2"
"343","Les alcanza justo, sin grandes dificultades","6","Mujer","2"
"344","Les alcanza justo, sin grandes dificultades","6","Mujer","3"
"345","Les alcanza bien y pueden ahorrar","6","Mujer","3"
"346","Les alcanza bien y pueden ahorrar","6","Mujer","3"
"347","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"348","Les alcanza bien y pueden ahorrar","6","Hombre","4"
"349","Les alcanza bien y pueden ahorrar","6","Hombre","3"
"350","No les alcanza y tienen dificultades","6","Hombre","3"
"351","Les alcanza bien y pueden ahorrar","6","Hombre","2"
"352","Les alcanza justo, sin grandes dificultades","6","Mujer","1"
"353","Les alcanza justo, sin grandes dificultades","6","Hombre","2"
"354","Les alcanza justo, sin grandes dificultades","6","Mujer","3"
"355","No les alcanza y tienen grandes dificultades","6","Hombre","3"
"356","Les alcanza justo, sin grandes dificultades","6","Mujer","3"
"357","Les alcanza justo, sin grandes dificultades","6","Hombre","2"
"358","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"359","No les alcanza y tienen grandes dificultades","6","Hombre","4"
"360","Les alcanza justo, sin grandes dificultades","6","Mujer","4"
"361","No les alcanza y tienen dificultades","6","Hombre","4"
"362","No les alcanza y tienen dificultades","6","Hombre","4"
"363","Les alcanza justo, sin grandes dificultades","6","Hombre","2"
"364","Les alcanza bien y pueden ahorrar","6","Hombre","4"
"365","No les alcanza y tienen dificultades","6","Mujer","4"
"366","Les alcanza justo, sin grandes dificultades","6","Hombre","2"
"367","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"368","No les alcanza y tienen dificultades","6","Hombre","3"
"369","No les alcanza y tienen dificultades","6","Hombre","4"
"370","No les alcanza y tienen dificultades","6","Hombre","3"
"371","No les alcanza y tienen dificultades","6","Hombre","4"
"372","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"373","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"374","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"375","No les alcanza y tienen dificultades","6","Hombre","4"
"376","Les alcanza justo, sin grandes dificultades","6","Mujer","3"
"377","No les alcanza y tienen grandes dificultades","6","Hombre","4"
"378","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"379","Les alcanza bien y pueden ahorrar","6","Mujer","4"
"380","Les alcanza justo, sin grandes dificultades","6","Hombre","2"
"381","Les alcanza justo, sin grandes dificultades","6","Mujer","4"
"382","Les alcanza justo, sin grandes dificultades","6","Hombre","3"
"383","Les alcanza justo, sin grandes dificultades","6","Mujer","3"
"384","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"385","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"386","No les alcanza y tienen dificultades","6","Mujer","3"
"387","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"388","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"389","Les alcanza justo, sin grandes dificultades","6","Hombre","2"
"390","No les alcanza y tienen dificultades","6","Hombre","4"
"391","Les alcanza justo, sin grandes dificultades","6","Hombre","3"
"392","Les alcanza justo, sin grandes dificultades","6","Hombre","3"
"393","Les alcanza bien y pueden ahorrar","6","Hombre","2"
"394","No les alcanza y tienen dificultades","6","Hombre","3"
"395","Les alcanza bien y pueden ahorrar","6","Hombre","2"
"396","Les alcanza bien y pueden ahorrar","6","Mujer","3"
"397","No les alcanza y tienen dificultades","6","Hombre","4"
"398","Les alcanza justo, sin grandes dificultades","6","Hombre","3"
"399","Les alcanza justo, sin grandes dificultades","6","Hombre","4"
"400","Les alcanza justo, sin grandes dificultades","10","Mujer","1"
"401","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"402","No les alcanza y tienen grandes dificultades","10","Hombre","4"
"403","Les alcanza justo, sin grandes dificultades","10","Hombre","3"
"404","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"405","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"406","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"407","Les alcanza justo, sin grandes dificultades","10","Hombre","3"
"408","No les alcanza y tienen dificultades","10","Hombre","3"
"409","Les alcanza bien y pueden ahorrar","10","Mujer","1"
"410","Les alcanza bien y pueden ahorrar","10","Hombre","4"
"411","Les alcanza justo, sin grandes dificultades","10","Mujer","1"
"412","Les alcanza justo, sin grandes dificultades","10","Mujer","4"
"413","Les alcanza bien y pueden ahorrar","10","Hombre","1"
"414","No les alcanza y tienen dificultades","10","Mujer","3"
"415","No les alcanza y tienen dificultades","10","Hombre","3"
"416","No les alcanza y tienen dificultades","10","Hombre","2"
"417","No les alcanza y tienen dificultades","10","Hombre","3"
"418","Les alcanza justo, sin grandes dificultades","10","Mujer","2"
"419","No les alcanza y tienen dificultades","10","Mujer","3"
"420","Les alcanza justo, sin grandes dificultades","10","Hombre","4"
"421","Les alcanza justo, sin grandes dificultades","10","Hombre","4"
"422","No les alcanza y tienen dificultades","10","Hombre","2"
"423","Les alcanza bien y pueden ahorrar","10","Hombre","1"
"424","No les alcanza y tienen dificultades","10","Mujer","2"
"425","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"426","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
